# JA3 Fingerprint Seed Data
# Fallback JA3 → application mapping for offline use.
# Full JA3 database is downloaded by ndr-baseline datasets loader.
# Format: ja3_hash,application_name,description
e7d705a3286e19ea42f587b344ee6865,Tor Browser,Tor Client Default
1d095e34de517df0c537e82e8434eaf1,Tor Browser,Tor Client Variant
eb1d94daa7e0344597e756a1fb6e7054,Chrome,Chrome 120+
b32309a26951912be7dba376398abc3b,Chrome,Chrome 100-119
a0e9f5d64349fb13191bc781f81f42e1,Firefox,Firefox 120+
cd08e31494f9531f560d64c695473da9,Firefox,Firefox 100-119
6734f37431670b3ab4292b8f60f29984,Safari,Safari 17+
5d41b91e92c43a9f607f6c2d10ec3aff,curl,curl/wget
36f7277af969a6947a61ae0b815907a1,Python Requests,Python urllib3
